Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Co-induction in dynamical systems,,,Ergodic Theory and Dynamical Systems,32,03,919,,,0143-3857,10.1017/S0143385711000083,,2012,http://dx.doi.org/10.1017/S0143385711000083,1,,,,Dynamical systems & complexity,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Computing the critical dimensions of Bratteli–Vershik systems with multiple edges,,,Ergodic Theory and Dynamical Systems,32,01,103,,,0143-3857,10.1017/S0143385710000969,,2012,http://dx.doi.org/10.1017/S0143385710000969,1,,,,Dynamical systems & complexity,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Coprime factorization and optimal control on the doubly infinite discrete time axis,,,SIAM Journal on Control and Optimization (SICON),50,1,266,,,0363-0129,10.1137/110823742,,2012,http://dx.doi.org/10.1137/110823742,1,,,,Mathematical control theory,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Curves of steepest descent are entropy solutions for a class of degenerate convection-diffusion equations,,,Calculus of Variations and Partial Differential Equations,n/a,n/a,n/a,,,0944-2669,10.1007/s00526-013-0633-5,,2013,http://dx.doi.org/10.1007/s00526-013-0633-5,1,,,,Analysis & Differential equations,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Darboux transforms and simple factor dressing of constant mean curvature surfaces,,,Manuscripta Mathematica,140,1-2,213,,,0025-2611,10.1007/s00229-012-0537-2,,2013,http://dx.doi.org/10.1007/s00229-012-0537-2,3,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Deformations of asymptotically cylindrical G2-manifolds,,,Mathematical Proceedings of the Cambridge Philosophical Society,145,02,311,,,0305-0041,10.1017/S0305004108001333,,2008,http://dx.doi.org/10.1017/S0305004108001333,0,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Degeneration of A-infinity modules,,,Transactions of the American Mathematical Society,361,8,4125,,,0002-9947,10.1090/S0002-9947-09-04693-5,,2009,http://dx.doi.org/10.1090/S0002-9947-09-04693-5,2,,,,Algebra & Geometry,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Directional biases and resource-dependence in dispersal generate spatial patterning in a consumer-producer model,,,Ecology Letters,15,3,209,,,1461-023X,10.1111/j.1461-0248.2011.01727.x,,2012,http://dx.doi.org/10.1111/j.1461-0248.2011.01727.x,2,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Disrupting seasonality to control disease outbreaks: the case of koi herpes virus,,,Journal of Theoretical Biology,271,1,159,,,0022-5193,10.1016/j.jtbi.2010.12.004,,2011,http://dx.doi.org/10.1016/j.jtbi.2010.12.004,1,,,,Mathematical biology,,,
10007850,University of Bath,B,10,Mathematical Sciences, ,,,D,Dynamic coexistence of sexual and asexual invasion fronts in a system of integro-difference equations,,,Bulletin of Mathematical Biology,71,7,1612,,,0092-8240,10.1007/s11538-009-9416-8,,2009,http://dx.doi.org/10.1007/s11538-009-9416-8,3,,,,Mathematical biology,,,
