Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKPRN,Institution,MainPanel,uoaId,UnitOfAssessment,msubId,MultipleSubmission,JointSubmission,OutputTypeId,Title,Place,Publisher,VolumeTitle,Volume,Issue,FirstPage,ArticleNumber,ISBN,ISSN,DOI,PatentNumber,Year,URL,NumberOfAdditionalAuthors,IsForeignLanguageOutput,IsInterdisciplinary,ProposeDoubleWeighting,ResearchGroup,CitationsApplicable,CitedByCount,CrossReferToUoa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution code (UKPRN),Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Year,URL,Number of additional authors,Non-english,Interdisciplinary,Proposed double-weighted,Research group,Citations applicable,Citation count,Cross- referral requested
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Efficient 2.87 ?m fiber laser passively switched using a semiconductor saturable absorber mirror,,,Optics letters,37,18,3747,,,0146-9592,10.1364/OL.37.003747,,2012,http://www.opticsinfobase.org/ol/abstract.cfm?uri=ol-37-18-3747,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Electrical properties of aggregated detonation nanodiamonds,,,Applied physics letters,93,13,132115,132115,,0003-6951,10.1063/1.2996026,,2008,http://dx.doi.org/10.1063/1.2996026,4,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Energy-Efficient Multihop Cooperative MISO Transmission with Optimal Hop Distance in Wireless Ad Hoc Networks,,,IEEE transactions on wireless communications,10,10,3426,5995297,,1536-1276,10.1109/TWC.2011.081011.102210,,2011,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5995297,2,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Enhanced carrier-carrier interaction in optically pumped hydrogenated nanocrystalline silicon,,,Applied physics letters,101,14,N/A,141904,,0003-6951,10.1063/1.4755760,,2012,http://apl.aip.org/resource/1/applab/v101/i14/p141904_s1,3,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,FemtoNewton force sensing with optically trapped nanotubes,,,Nano letters,8,10,3211,,,1530-6984,10.1021/nl8015413,,2008,http://pubs.acs.org/doi/abs/10.1021/nl8015413,6,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Femtosecond laser micro-inscription of optical coherence tomography resolution test artifacts,,,Biomedical optics express,2,5,1319,,,2156-7085,10.1364/BOE.2.001319,,2011,,4,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Fiber Bragg gratings inscribed using 800nm femtosecond laser and a phase mask in singleand multi-core mid-IR glass fibers,,,Optics express,17,9,7540,,,1094-4087,10.1364/OE.17.007540,,2009,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-17-9-7540,11,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Graphene layers produced from carbon nanotubes by frication,,,Carbon,50,5,1934,,,0008-6223,10.1016/j.carbon.2011.12.044,,2012,,5,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,High efficiency supercontinuum generation using ultra-long Raman fiber cavities,,,Optics express,17,20,17909,,,1094-4087,10.1364/OE.17.017909,,2009,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-17-20-17909,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,High-power diode-pumped fiber laser operating at 3 ?m,,,Optics letters,36,18,3642,,,0146-9592,10.1364/OL.36.003642,,2011,http://dx.doi.org/10.1364/OL.36.003642,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Humidity insensitive TOPAS polymer fiber Bragg grating sensor,,,Optics express,19,20,19731,,,1094-4087,10.1364/OE.19.019731,,2011,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-19-20-19731,6,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Hybrid squeezing of solitonic resonant radiation in photonic crystal fibers,,,Physical review A,84,1,N/A,013824,,1050-2947,10.1103/PhysRevA.84.013824,,2011,http://link.aps.org/doi/10.1103/PhysRevA.84.013824,4,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Impact of signal-ASE four-wave mixing on the effectiveness of digital back-propagation in 112 Gb/s PM-QPSK systems,,,Optics express,19,4,3449,,,1094-4087,10.1364/OE.19.003449,,2011,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-19-4-3449,1,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Improved design of all-optical processor for modular arithmetic,,,Optics communications,281,5,1017,,,0030-4018,10.1016/j.optcom.2007.10.086,,2008,http://dx.doi.org/10.1016/j.optcom.2007.10.086,1,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Improving energy efficiency in a wireless sensor network by combining cooperative MIMO with data aggregation,,,IEEE transactions on vehicular technology,59,8,3956,5540320,,0018-9545,10.1109/TVT.2010.2063719,,2010,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5540320,3,,,,Adaptive Communications Networks Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,In-fiber linear polarizer based on UV-inscribed 45° tilted grating in polarization maintaining fiber,,,Optics letters,37,18,3819,,,0146-9592,10.1364/OL.37.003819,,2012,http://www.opticsinfobase.org/ol/abstract.cfm?URI=ol-37-18-3819,2,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,In-fiber microchannel device filled with a carbon nanotube dispersion for passive mode-lock lasing,,,Optics express,16,20,15425,,,1094-4087,10.1364/OE.16.015425,,2008,http://www.opticsinfobase.org/oe/abstract.cfm?uri=oe-16-20-15425,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Intermediate asymptotics in nonlinear optical systems,,,Physical review A,85,4,N/A,043811,,1050-2947,10.1103/PhysRevA.85.043811,,2012,http://www.scopus.com/inward/record.url?partnerID=yv4JPVwI&eid=2-s2.0-84859803482&md5=d72ca6672e4c43e6ed90036063bb0d25,1,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Intracavity dynamics in high-power mode-locked ?ber lasers,,,Physical review A,81,3,N/A,033828,,1050-2947,10.1103/PhysRevA.81.033828,,2010,http://link.aps.org/doi/10.1103/PhysRevA.81.033828,3,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Investigation of ultrafast laser-photonic material interactions: Challenges for directly written glass photonics,,,IEEE journal on selected topics in quantum electronics,14,5,1370,4579123,,1077-260X,10.1109/JSTQE.2008.925809,,2008,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4579123&tag=1,6,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Ion interactions with the carbon nanotube surface in aqueous solutions : understanding the molecular mechanisms,,,ChemPhysChem,11,12,2612,,,1439-4235,10.1002/cphc.201000231,,2010,http://onlinelibrary.wiley.com/doi/10.1002/cphc.201000231/abstract,2,,,,Nanoscience Research Group,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Long period gratings written into a photonic crystal fibre by a femtosecond laser as directional bend sensors,,,Optics communications,281,20,5092,,,0030-4018,10.1016/j.optcom.2008.07.001,,2008,http://dx.doi.org/10.1016/j.optcom.2008.07.001,7,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Long-distance soliton transmission through ultralong fiber lasers,,,Optics letters,34,20,3104,,,0146-9592,10.1364/OL.34.003104,,2009,http://www.opticsinfobase.org/abstract.cfm?URI=ol-34-20-3104,6,,,,Aston Institute of Photonic Technologies,,,
10007759,Aston University,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,D,Low loss depressed cladding waveguide inscribed in YAG : Nd single crystal by femtosecond laser pulses,,,Optics express,20,4,3832,,,1094-4087,10.1364/OE.20.003832,,2012,http://www.opticsinfobase.org/oe/abstract.cfm?URI=oe-20-4-3832,3,,,,Aston Institute of Photonic Technologies,,,
